date,property_id,property_type,submarket,building_sf,year_built,occupancy,noi,market_rent,in_place_rent,going_in_cap,opex_ratio,walt,tenant_concentration,capex_need,property_quality,units,primary_risk,employment_density,treasury_rate,market_vacancy,transaction_cap_rate,transaction_price,noi_growth_realized,next_year_noi,next_year_cap_rate,next_year_value
2019-06-30,OC-INDU-141,Industrial,Anaheim,89479,1974,0.96,0.6759,1.199,1.231,0.0525,0.442,7.4,0.106,0.4485,0.507,,Market / Lease-up Risk,950.98,0.042,0.04230009339609785,0.0525,12.8743,0.01966,0.6892,0.05492,12.549
2019-06-30,OC-INDU-145,Industrial,Irvine,149330,1963,0.99,2.2129,1.951,1.875,0.0512,0.327,2.1,0.348,0.4372,0.323,,Market / Lease-up Risk,1393.94,0.042,0.055488222560129315,0.0512,43.2207,-0.00597,2.1997,0.05464,40.2614
2019-06-30,OC-INDU-149,Industrial,Newport Beach,68664,1973,0.971,0.85,1.673,1.735,0.0502,0.352,7.5,0.109,0.2232,0.589,,Market / Lease-up Risk,5400.0,0.042,0.045577592077744165,0.0502,16.9323,0.03537,0.8801,0.05432,16.2007
2019-06-30,OC-INDU-153,Industrial,Orange,150265,1996,0.94,1.4521,1.55,1.518,0.0514,0.436,4.6,0.183,0.9133,0.805,,Market / Lease-up Risk,1148.15,0.042,0.03807583055028073,0.0514,28.251,0.03958,1.5096,0.05594,26.9865
2019-06-30,OC-INDU-157,Industrial,Santa Ana,149658,1978,0.989,1.8283,1.631,1.617,0.0493,0.356,3.2,0.06,1.2516,0.678,,Market / Lease-up Risk,2296.3,0.042,0.06713969288480011,0.0493,37.0852,0.02929,1.8818,0.05456,34.4943
2019-06-30,OC-INDU-161,Industrial,Costa Mesa,160892,1960,0.984,1.7785,1.547,1.486,0.0499,0.363,5.5,0.089,0.5458,0.343,,Market / Lease-up Risk,3250.0,0.042,0.07151771054557704,0.0499,35.6413,0.03292,1.837,0.05598,32.8166
2019-06-30,OC-INDU-165,Industrial,Fullerton,118937,1987,0.998,1.1154,1.373,1.406,0.0561,0.418,3.4,0.162,0.5837,0.631,,Market / Lease-up Risk,1500.0,0.042,0.06441789266445637,0.0561,19.8824,0.03385,1.1532,0.05459,21.1255
2019-06-30,OC-INDU-169,Industrial,Anaheim,172311,1974,0.985,1.6138,1.471,1.448,0.0513,0.433,7.2,0.096,0.9758,0.487,,Market / Lease-up Risk,950.98,0.042,0.04654134380598931,0.0513,31.4581,0.04009,1.6785,0.0546,30.7422
2019-06-30,OC-INDU-17,Industrial,Santa Ana,189238,1973,0.935,2.1953,1.644,1.582,0.0564,0.338,6.9,0.026,0.4677,0.358,,Market / Lease-up Risk,2296.3,0.042,0.048364546490566034,0.0564,38.9238,0.02728,2.2552,0.05493,41.058
2019-06-30,OC-INDU-173,Industrial,Irvine,120534,1965,0.986,1.3519,1.547,1.493,0.0528,0.355,3.4,0.138,0.7976,0.306,,Market / Lease-up Risk,1393.94,0.042,0.057623318933894246,0.0528,25.6042,0.02042,1.3795,0.05507,25.051
2019-06-30,OC-INDU-177,Industrial,Newport Beach,65915,1966,0.987,0.7607,1.718,1.771,0.055,0.403,5.2,0.061,0.1533,0.272,,Market / Lease-up Risk,5400.0,0.042,0.06641493817394199,0.055,13.8309,0.03447,0.7869,0.05478,14.3652
2019-06-30,OC-INDU-181,Industrial,Orange,125927,1955,0.956,1.4636,1.566,1.555,0.0507,0.319,3.8,0.013,0.536,0.229,,Market / Lease-up Risk,1148.15,0.042,0.04406598519012479,0.0507,28.8679,0.02633,1.5021,0.05484,27.3907
2019-06-30,OC-INDU-185,Industrial,Santa Ana,178171,1976,0.984,1.6227,1.431,1.402,0.0558,0.45,6.0,0.454,0.9672,0.526,,Market / Lease-up Risk,2296.3,0.042,0.061693284514438444,0.0558,29.0806,0.03994,1.6875,0.05515,30.5962
2019-06-30,OC-INDU-189,Industrial,Costa Mesa,168455,1964,0.963,1.9262,1.571,1.523,0.0549,0.337,2.2,0.215,0.422,0.449,,Market / Lease-up Risk,3250.0,0.042,0.0672524457326676,0.0549,35.0856,0.02047,1.9656,0.05553,35.4006
2019-06-30,OC-INDU-193,Industrial,Fullerton,70715,1972,0.975,0.7988,1.626,1.618,0.0539,0.375,6.9,0.437,0.4483,0.409,,Market / Lease-up Risk,1500.0,0.042,0.06172767286775682,0.0539,14.82,0.01651,0.812,0.05474,14.833
2019-06-30,OC-INDU-197,Industrial,Anaheim,199950,1981,0.962,2.2197,1.606,1.659,0.0496,0.389,4.5,0.195,0.2367,0.581,,Market / Lease-up Risk,950.98,0.042,0.06253881862380288,0.0496,44.752,0.01639,2.2561,0.05424,41.5914
2019-06-30,OC-INDU-201,Industrial,Irvine,90274,1955,0.956,0.8127,1.328,1.36,0.0534,0.378,2.0,0.554,0.1124,0.262,,Market / Lease-up Risk,1393.94,0.042,0.06790312811646575,0.0534,15.2191,0.00565,0.8173,0.05529,14.7823
2019-06-30,OC-INDU-205,Industrial,Newport Beach,140881,1970,0.977,1.9022,1.834,1.866,0.0561,0.339,3.2,0.095,0.6236,0.467,,Market / Lease-up Risk,5400.0,0.042,0.027607729955329466,0.0561,33.9073,0.03259,1.9642,0.05505,35.6784
2019-06-30,OC-INDU-209,Industrial,Orange,93943,1970,0.97,1.1192,1.823,1.783,0.059,0.409,7.9,0.515,0.6238,0.441,,Market / Lease-up Risk,1148.15,0.042,0.06110906261319256,0.059,18.9695,0.02912,1.1518,0.0545,21.1329
2019-06-30,OC-INDU-21,Industrial,Costa Mesa,134831,1986,0.976,1.5642,1.625,1.633,0.051,0.378,4.3,0.136,0.512,0.81,,Market / Lease-up Risk,3250.0,0.042,0.044291163477805026,0.051,30.6706,0.04664,1.6372,0.05471,29.9219
2019-06-30,OC-INDU-213,Industrial,Santa Ana,191985,1955,0.975,2.0821,1.539,1.577,0.0582,0.366,4.5,0.594,0.9436,0.065,,Market / Lease-up Risk,2296.3,0.042,0.046048489195419526,0.0582,35.7749,0.02905,2.1426,0.05558,38.5487
2019-06-30,OC-INDU-217,Industrial,Costa Mesa,186946,1976,0.992,1.6163,1.254,1.254,0.0555,0.409,3.2,0.605,0.7307,0.559,,Market / Lease-up Risk,3250.0,0.042,0.060402978958239144,0.0555,29.1225,0.05352,1.7028,0.05465,31.1558
2019-06-30,OC-INDU-221,Industrial,Fullerton,182655,1955,0.996,1.7142,1.445,1.434,0.059,0.428,7.2,0.494,0.5982,0.127,,Market / Lease-up Risk,1500.0,0.042,0.061959047975872664,0.059,29.0542,0.01904,1.7468,0.05424,32.2032
2019-06-30,OC-INDU-225,Industrial,Anaheim,124936,1963,0.989,1.1199,1.268,1.316,0.0547,0.373,5.9,0.314,0.4188,0.436,,Market / Lease-up Risk,950.98,0.042,0.06276639241672524,0.0547,20.4735,0.02332,1.146,0.05657,20.2568
2019-06-30,OC-INDU-229,Industrial,Irvine,217129,1960,0.949,2.2431,1.523,1.547,0.0552,0.373,3.9,0.005,1.3571,0.356,,Market / Lease-up Risk,1393.94,0.042,0.05309417308598308,0.0552,40.6359,0.03558,2.3229,0.05505,42.1952
2019-06-30,OC-INDU-233,Industrial,Newport Beach,143528,1984,0.948,1.7042,1.604,1.666,0.0531,0.336,4.1,0.408,0.2883,0.613,,Market / Lease-up Risk,5400.0,0.042,0.04419768100249166,0.0531,32.0942,0.02176,1.7413,0.05498,31.6698
2019-06-30,OC-INDU-237,Industrial,Orange,60122,1984,0.969,0.6883,1.56,1.564,0.0531,0.356,2.6,0.279,0.1428,0.694,,Market / Lease-up Risk,1148.15,0.042,0.056452480358042616,0.0531,12.9623,0.03762,0.7142,0.05599,12.7557
2019-06-30,OC-INDU-241,Industrial,Santa Ana,74941,1989,0.99,1.0287,1.8,1.871,0.0578,0.345,2.1,0.703,0.1545,0.773,,Market / Lease-up Risk,2296.3,0.042,0.05701299236149478,0.0578,17.7976,0.05608,1.0864,0.05505,19.7343
2019-06-30,OC-INDU-245,Industrial,Costa Mesa,156585,1955,0.955,1.4469,1.223,1.175,0.0547,0.306,7.5,0.641,0.4019,0.029,,Market / Lease-up Risk,3250.0,0.042,0.05962972954035964,0.0547,26.4516,0.02518,1.4833,0.05526,26.8422
2019-06-30,OC-INDU-249,Industrial,Fullerton,181134,1968,0.971,1.8822,1.442,1.481,0.0499,0.349,5.9,0.152,0.8825,0.496,,Market / Lease-up Risk,1500.0,0.042,0.05804638704048424,0.0499,37.7194,0.03102,1.9406,0.05523,35.1342
2019-06-30,OC-INDU-25,Industrial,Fullerton,65571,1956,0.934,0.7813,1.653,1.666,0.0534,0.323,4.3,0.771,0.1043,0.271,,Market / Lease-up Risk,1500.0,0.042,0.04950076439595269,0.0534,14.6311,0.01459,0.7927,0.05541,14.3065
2019-06-30,OC-INDU-253,Industrial,Anaheim,109240,1981,0.934,0.9345,1.32,1.312,0.0501,0.41,3.9,0.261,0.2066,0.576,,Market / Lease-up Risk,950.98,0.042,0.0601322184571435,0.0501,18.6527,0.03905,0.971,0.05589,17.3718
2019-06-30,OC-INDU-257,Industrial,Irvine,125044,1957,0.967,1.1424,1.25,1.267,0.0569,0.337,6.6,0.018,0.3206,0.319,,Market / Lease-up Risk,1393.94,0.042,0.05705981831794345,0.0569,20.0773,0.02205,1.1676,0.05565,20.9824
2019-06-30,OC-INDU-261,Industrial,Newport Beach,70751,1962,0.986,0.8684,1.652,1.655,0.0529,0.339,3.2,0.05,0.5285,0.353,,Market / Lease-up Risk,5400.0,0.042,0.05134510796558337,0.0529,16.4159,0.05112,0.9128,0.05523,16.5282
2019-06-30,OC-INDU-265,Industrial,Orange,90782,1955,0.971,0.9352,1.599,1.607,0.0575,0.418,5.6,0.32,0.2235,0.127,,Market / Lease-up Risk,1148.15,0.042,0.052515747562047285,0.0575,16.2643,0.00462,0.9395,0.05476,17.158
2019-06-30,OC-INDU-269,Industrial,Santa Ana,71780,1960,0.939,0.9296,1.942,1.908,0.0553,0.377,5.0,0.203,0.2387,0.319,,Market / Lease-up Risk,2296.3,0.042,0.07371380452011295,0.0553,16.8101,0.06072,0.986,0.05539,17.8004
2019-06-30,OC-INDU-273,Industrial,Costa Mesa,155666,1978,0.982,1.2136,1.212,1.217,0.0524,0.443,7.0,0.105,0.5889,0.503,,Market / Lease-up Risk,3250.0,0.042,0.037979956859215486,0.0524,23.1603,0.04078,1.2631,0.05555,22.7367
2019-06-30,OC-INDU-277,Industrial,Fullerton,118961,1955,0.972,1.3149,1.747,1.796,0.0552,0.429,4.6,0.351,0.1971,0.127,,Market / Lease-up Risk,1500.0,0.042,0.05616167925983333,0.0552,23.8207,0.02278,1.3448,0.05527,24.3306
2019-06-30,OC-INDU-281,Industrial,Anaheim,72983,1988,0.951,0.9434,1.675,1.622,0.0488,0.31,4.3,0.592,0.3825,0.717,,Market / Lease-up Risk,950.98,0.042,0.06023915560702109,0.0488,19.332,0.02093,0.9631,0.05519,17.4512
2019-06-30,OC-INDU-285,Industrial,Irvine,141177,1980,0.937,1.302,1.27,1.279,0.0581,0.341,6.0,0.073,0.4997,0.519,,Market / Lease-up Risk,1393.94,0.042,0.05336176985125975,0.0581,22.4096,0.01118,1.3166,0.05475,24.0447
2019-06-30,OC-INDU-289,Industrial,Newport Beach,202103,1975,0.998,1.9734,1.403,1.407,0.0535,0.407,3.7,0.1,1.1536,0.521,,Market / Lease-up Risk,5400.0,0.042,0.05765779413632384,0.0535,36.886,0.04878,2.0697,0.05501,37.6236
2019-06-30,OC-INDU-29,Industrial,Anaheim,61951,1955,0.991,0.7327,1.591,1.58,0.0564,0.342,6.3,0.686,0.2857,0.16,,Market / Lease-up Risk,950.98,0.042,0.07053432551818478,0.0564,12.9911,0.05216,0.7709,0.05433,14.1896
2019-06-30,OC-INDU-293,Industrial,Orange,120401,1955,0.969,1.1504,1.272,1.295,0.0552,0.32,6.4,0.062,0.5037,0.248,,Market / Lease-up Risk,1148.15,0.042,0.0748034275728082,0.0552,20.8406,0.0276,1.1822,0.05512,21.4486
2019-06-30,OC-INDU-297,Industrial,Santa Ana,116157,1956,0.939,1.2107,1.656,1.712,0.0561,0.412,7.9,0.122,0.4948,0.043,,Market / Lease-up Risk,2296.3,0.042,0.05227622438646965,0.0561,21.5811,0.02517,1.2412,0.05458,22.7412
2019-06-30,OC-INDU-301,Industrial,Costa Mesa,127878,1972,0.971,1.2112,1.262,1.271,0.0498,0.322,4.7,0.082,0.1953,0.375,,Market / Lease-up Risk,3250.0,0.042,0.056542203183745685,0.0498,24.3213,0.02051,1.236,0.05439,22.7253
2019-06-30,OC-INDU-305,Industrial,Fullerton,80533,1979,0.93,0.8323,1.512,1.515,0.056,0.375,3.4,0.199,0.1507,0.722,,Market / Lease-up Risk,1500.0,0.042,0.06191506813624133,0.056,14.8625,0.05858,0.8811,0.05477,16.0873
2019-06-30,OC-INDU-309,Industrial,Anaheim,115344,1961,0.965,1.1273,1.324,1.376,0.0513,0.329,7.0,0.469,0.1214,0.254,,Market / Lease-up Risk,950.98,0.042,0.09847047742439974,0.0513,21.9747,0.03597,1.1679,0.05527,21.1293
2019-06-30,OC-INDU-313,Industrial,Irvine,76571,1986,0.941,0.6374,1.159,1.186,0.0499,0.351,5.6,0.049,0.2866,0.606,,Market / Lease-up Risk,1393.94,0.042,0.06412745443815988,0.0499,12.7735,-0.00467,0.6344,0.05534,11.4644
2019-06-30,OC-INDU-317,Industrial,Newport Beach,100790,1973,0.999,0.8277,1.039,1.052,0.053,0.306,7.0,0.4,0.4575,0.427,,Market / Lease-up Risk,5400.0,0.042,0.053944563175797294,0.053,15.617,0.02755,0.8505,0.05436,15.6463
2019-06-30,OC-INDU-321,Industrial,Orange,153963,1955,0.966,1.2849,1.201,1.237,0.0562,0.369,6.7,0.133,0.5998,0.141,,Market / Lease-up Risk,1148.15,0.042,0.04919811523111331,0.0562,22.863,0.02015,1.3108,0.05498,23.8399
2019-06-30,OC-INDU-325,Industrial,Santa Ana,209022,1981,0.996,1.9184,1.173,1.16,0.0538,0.332,3.4,0.167,0.9725,0.558,,Market / Lease-up Risk,2296.3,0.042,0.059799135428510994,0.0538,35.658,0.04257,2.0001,0.05583,35.825
2019-06-30,OC-INDU-329,Industrial,Costa Mesa,202469,1966,0.967,2.0716,1.353,1.354,0.05,0.314,3.3,0.065,0.4671,0.315,,Market / Lease-up Risk,3250.0,0.042,0.07271402684168352,0.05,41.432,0.01764,2.1081,0.05505,38.2962
2019-06-30,OC-INDU-33,Industrial,Irvine,92591,1955,0.937,1.2044,1.845,1.903,0.054,0.34,8.0,0.18,0.7275,0.189,,Market / Lease-up Risk,1393.94,0.042,0.05870445703186194,0.054,22.3037,0.02358,1.2328,0.05519,22.3383
2019-06-30,OC-INDU-333,Industrial,Fullerton,137157,1993,0.964,1.5218,1.576,1.627,0.0531,0.379,4.6,0.104,0.4692,0.951,,Market / Lease-up Risk,1500.0,0.042,0.054480733667730194,0.0531,28.6591,0.04756,1.5942,0.05513,28.918
2019-06-30,OC-INDU-337,Industrial,Anaheim,147047,1966,0.969,1.2298,1.266,1.256,0.0554,0.402,2.5,0.141,0.6372,0.435,,Market / Lease-up Risk,950.98,0.042,0.06003852445527438,0.0554,22.1986,0.00728,1.2388,0.05484,22.5905
2019-06-30,OC-INDU-341,Industrial,Irvine,157841,1970,0.958,1.2369,1.188,1.211,0.0591,0.396,7.1,0.161,0.1296,0.31,,Market / Lease-up Risk,1393.94,0.042,0.04326861939158048,0.0591,20.9289,0.02988,1.2739,0.05547,22.9661
2019-06-30,OC-INDU-345,Industrial,Newport Beach,108558,1955,0.943,1.1701,1.671,1.716,0.0526,0.4,7.8,0.503,0.5808,0.055,,Market / Lease-up Risk,5400.0,0.042,0.07192118114907968,0.0526,22.2452,0.03334,1.2091,0.05526,21.8793
2019-06-30,OC-INDU-349,Industrial,Orange,93633,1993,0.939,0.8977,1.292,1.298,0.0497,0.328,6.1,0.28,0.1923,0.92,,Market / Lease-up Risk,1148.15,0.042,0.06270171783223508,0.0497,18.0624,0.05465,0.9468,0.05506,17.1965
2019-06-30,OC-INDU-353,Industrial,Santa Ana,193951,1964,0.985,2.1859,1.632,1.603,0.0516,0.385,6.0,0.566,0.4482,0.231,,Market / Lease-up Risk,2296.3,0.042,0.06126899800949561,0.0516,42.3624,0.01411,2.2167,0.05551,39.9351
2019-06-30,OC-INDU-357,Industrial,Costa Mesa,123446,1955,0.938,0.7837,0.983,0.977,0.0595,0.396,6.0,0.22,0.3498,0.155,,Market / Lease-up Risk,3250.0,0.042,0.06588816950875445,0.0595,13.1714,0.02981,0.8071,0.05475,14.7412
2019-06-30,OC-INDU-361,Industrial,Fullerton,193460,1978,0.941,1.9415,1.458,1.456,0.0585,0.378,4.1,0.558,0.5519,0.715,,Market / Lease-up Risk,1500.0,0.042,0.06339398204958707,0.0585,33.188,-0.01141,1.9193,0.05453,35.1954
2019-06-30,OC-INDU-365,Industrial,Anaheim,115066,1963,0.956,1.1748,1.346,1.381,0.0507,0.304,4.4,0.446,0.6191,0.282,,Market / Lease-up Risk,950.98,0.042,0.042885376931854104,0.0507,23.1716,0.03992,1.2217,0.05533,22.0797
2019-06-30,OC-INDU-369,Industrial,Irvine,75408,1981,0.992,0.5039,1.005,1.038,0.0581,0.43,2.3,0.413,0.0699,0.729,,Market / Lease-up Risk,1393.94,0.042,0.047274618679877575,0.0581,8.673,0.03612,0.5221,0.05517,9.4634
2019-06-30,OC-INDU-37,Industrial,Newport Beach,73189,1981,0.966,0.9523,1.773,1.789,0.0541,0.354,2.3,0.144,0.3516,0.537,,Market / Lease-up Risk,5400.0,0.042,0.04975914675124603,0.0541,17.6026,0.03713,0.9877,0.05395,18.3064
2019-06-30,OC-INDU-373,Industrial,Newport Beach,113400,1988,0.948,1.1985,1.479,1.533,0.0569,0.359,5.9,0.393,0.189,0.803,,Market / Lease-up Risk,5400.0,0.042,0.08298882530457824,0.0569,21.0633,0.00903,1.2093,0.05472,22.0991
2019-06-30,OC-INDU-377,Industrial,Orange,166831,1959,0.97,1.759,1.436,1.433,0.0559,0.336,7.6,0.428,0.4346,0.256,,Market / Lease-up Risk,1148.15,0.042,0.04577160350042241,0.0559,31.4669,0.05368,1.8534,0.0553,33.5133
2019-06-30,OC-INDU-381,Industrial,Santa Ana,100505,1955,0.958,1.1442,1.524,1.496,0.0568,0.316,5.9,0.264,0.625,0.154,,Market / Lease-up Risk,2296.3,0.042,0.04781531668784005,0.0568,20.1444,0.02869,1.177,0.05401,21.7916
2019-06-30,OC-INDU-385,Industrial,Costa Mesa,64486,1964,0.983,0.8393,2.006,2.072,0.0495,0.421,5.8,0.053,0.2293,0.407,,Market / Lease-up Risk,3250.0,0.042,0.06737065832197044,0.0495,16.9556,0.01665,0.8533,0.05554,15.3642
2019-06-30,OC-INDU-389,Industrial,Fullerton,160224,1969,0.978,2.2813,1.878,1.828,0.0551,0.32,7.8,0.387,0.6008,0.357,,Market / Lease-up Risk,1500.0,0.042,0.0758277838295688,0.0551,41.4029,0.00689,2.297,0.05533,41.5156
2019-06-30,OC-INDU-393,Industrial,Anaheim,155753,1961,0.939,1.3332,1.381,1.328,0.0496,0.421,5.1,0.482,0.7787,0.411,,Market / Lease-up Risk,950.98,0.042,0.0583996019761269,0.0496,26.879,0.0263,1.3683,0.05467,25.0261
2019-06-30,OC-INDU-397,Industrial,Irvine,134671,1966,0.994,1.1704,1.233,1.259,0.0591,0.378,6.9,0.192,0.2879,0.438,,Market / Lease-up Risk,1393.94,0.042,0.06143903499375349,0.0591,19.8037,0.03259,1.2085,0.05459,22.138
2019-06-30,OC-INDU-41,Industrial,Orange,140972,1986,0.937,1.9167,1.828,1.888,0.0526,0.325,7.0,0.108,0.7914,0.633,,Market / Lease-up Risk,1148.15,0.042,0.0523971982689616,0.0526,36.4392,0.02057,1.9561,0.05509,35.5047
2019-06-30,OC-INDU-45,Industrial,Santa Ana,92064,1982,0.985,0.8897,1.361,1.309,0.0502,0.387,5.2,0.339,0.3916,0.796,,Market / Lease-up Risk,2296.3,0.042,0.060422101032386384,0.0502,17.7231,0.05086,0.935,0.05542,16.8718
2019-06-30,OC-INDU-49,Industrial,Costa Mesa,119339,1971,0.939,1.2959,1.65,1.613,0.0574,0.404,2.1,0.121,0.434,0.531,,Market / Lease-up Risk,3250.0,0.042,0.06625511974015495,0.0574,22.5767,0.07019,1.3869,0.05521,25.1207
2019-06-30,OC-INDU-53,Industrial,Fullerton,63924,1987,0.936,0.7653,1.565,1.516,0.0564,0.305,6.8,0.192,0.18,0.676,,Market / Lease-up Risk,1500.0,0.042,0.06682487182644604,0.0564,13.5691,0.03273,0.7903,0.05414,14.5975
2019-06-30,OC-INDU-57,Industrial,Anaheim,120553,1965,0.958,1.1887,1.32,1.284,0.0492,0.316,2.8,0.29,0.6356,0.454,,Market / Lease-up Risk,950.98,0.042,0.054355855322966516,0.0492,24.1606,0.03204,1.2268,0.05602,21.9004
2019-06-30,OC-INDU-61,Industrial,Irvine,164788,1968,0.98,1.9704,1.901,1.862,0.0573,0.437,4.3,0.457,1.1851,0.429,,Market / Lease-up Risk,1393.94,0.042,0.04552496247983501,0.0573,34.3874,0.03741,2.0441,0.05531,36.9598
2019-06-30,OC-INDU-65,Industrial,Newport Beach,124651,1977,0.984,1.4596,1.515,1.519,0.0508,0.311,6.6,0.331,0.9671,0.484,,Market / Lease-up Risk,5400.0,0.042,0.07756989723612237,0.0508,28.7323,0.03069,1.5044,0.05423,27.7421
2019-06-30,OC-INDU-69,Industrial,Orange,96529,1962,0.951,0.7018,1.189,1.16,0.0592,0.436,4.8,0.107,0.1149,0.279,,Market / Lease-up Risk,1148.15,0.042,0.07457416483832392,0.0592,11.8547,0.03348,0.7253,0.05431,13.354
2019-06-30,OC-INDU-73,Industrial,Santa Ana,178502,1955,0.946,2.4877,1.964,1.994,0.052,0.342,2.5,0.173,0.7042,0.19,,Market / Lease-up Risk,2296.3,0.042,0.0480902260258015,0.052,47.8404,0.02542,2.5509,0.05462,46.7008
2019-06-30,OC-INDU-77,Industrial,Costa Mesa,210551,1983,0.946,1.6705,1.269,1.271,0.0499,0.438,4.3,0.311,0.9297,0.612,,Market / Lease-up Risk,3250.0,0.042,0.059655366627256505,0.0499,33.477,0.0266,1.7149,0.05536,30.9765
2019-06-30,OC-INDU-81,Industrial,Fullerton,158173,1973,0.951,1.4623,1.32,1.319,0.0554,0.354,2.4,0.24,0.8713,0.396,,Market / Lease-up Risk,1500.0,0.042,0.0545797957778206,0.0554,26.3953,0.0274,1.5024,0.05595,26.8542
2019-06-30,OC-INDU-85,Industrial,Anaheim,92895,1966,0.944,0.883,1.363,1.321,0.0528,0.352,6.0,0.086,0.1871,0.471,,Market / Lease-up Risk,950.98,0.042,0.04968847944959373,0.0528,16.7235,-0.01132,0.873,0.05524,15.8053
2019-06-30,OC-INDU-89,Industrial,Irvine,97547,1982,0.976,1.0178,1.632,1.603,0.0571,0.443,3.9,0.527,0.5262,0.692,,Market / Lease-up Risk,1393.94,0.042,0.04514484180012532,0.0571,17.8249,0.04786,1.0665,0.05491,19.4225
2019-06-30,OC-INDU-93,Industrial,Newport Beach,99790,1963,0.937,1.2876,1.779,1.831,0.0544,0.321,4.0,0.596,0.7243,0.372,,Market / Lease-up Risk,5400.0,0.042,0.07400608806320502,0.0544,23.6691,0.03334,1.3305,0.05492,24.2281
2019-06-30,OC-INDU-97,Industrial,Orange,195191,1968,0.974,2.8056,1.887,1.941,0.0501,0.314,6.9,0.14,1.4653,0.377,,Market / Lease-up Risk,1148.15,0.042,0.06552999002304347,0.0501,56.0,0.03991,2.9176,0.05442,53.6163
