property_id,property_type,submarket,building_sf,year_built,occupancy,noi,market_rent,in_place_rent,going_in_cap,opex_ratio,walt,tenant_concentration,capex_need,property_quality,units,primary_risk,employment_density,treasury_rate,market_vacancy,property_name,asking_price,debt_rate,max_ltv,amortization_years,data_tag
OC-INDU-21,Industrial,Costa Mesa,85147,1972,0.969,0.8525,1.358,1.371,0.056,0.353,2.9,0.064,0.5239,0.534,,Market / Lease-up Risk,3250.0,0.053,0.055,Cypress Industrial Yard,15.2232,0.0617,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-25,Industrial,Fullerton,113687,1980,0.96,1.0382,1.371,1.36,0.0517,0.41,3.0,0.188,0.4887,0.724,,Market / Lease-up Risk,1500.0,0.053,0.055,Orange Industrial Park,20.0812,0.0631,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-29,Industrial,Anaheim,172435,1960,0.98,2.0931,1.695,1.696,0.0521,0.359,5.4,0.217,1.2207,0.264,,Market / Lease-up Risk,950.98,0.053,0.055,Santa Ana Logistics Hub,40.1747,0.0603,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-33,Industrial,Irvine,110318,1967,0.995,1.0444,1.512,1.536,0.0521,0.448,6.8,0.108,0.3968,0.478,,Market / Lease-up Risk,1393.94,0.053,0.055,Fountain Valley Warehouse,20.0461,0.0626,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-37,Industrial,Newport Beach,88358,1968,0.977,1.1527,1.705,1.666,0.0541,0.313,3.9,0.353,0.7316,0.289,,Market / Lease-up Risk,5400.0,0.053,0.055,Laguna Beach Industrial Lofts (hybrid),21.3068,0.0635,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-41,Industrial,Orange,88008,1979,0.943,0.7251,1.347,1.321,0.0502,0.431,3.0,0.415,0.4817,0.499,,Market / Lease-up Risk,1148.15,0.053,0.055,Anaheim Commerce Center 2,14.4442,0.0613,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-45,Industrial,Santa Ana,145179,1978,0.93,0.9309,1.034,1.034,0.0528,0.433,3.6,0.304,0.5357,0.719,,Market / Lease-up Risk,2296.3,0.053,0.055,Irvine Spectrum Logistics 2,17.6307,0.0618,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-49,Industrial,Costa Mesa,190725,1964,0.993,2.1047,1.622,1.591,0.0521,0.399,3.2,0.033,0.3338,0.401,,Market / Lease-up Risk,3250.0,0.053,0.055,Fullerton Distribution Park 2,40.3973,0.0642,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-53,Industrial,Fullerton,173982,1993,0.996,1.64,1.402,1.414,0.0572,0.426,5.6,0.168,0.8678,0.784,,Market / Lease-up Risk,1500.0,0.053,0.055,Garden Grove Logistics Center 2,28.6713,0.0632,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-57,Industrial,Anaheim,188005,1968,0.987,1.6806,1.312,1.314,0.0498,0.413,2.4,0.041,0.2079,0.518,,Market / Lease-up Risk,950.98,0.053,0.055,Tustin Business Park 2,33.747,0.0614,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-61,Industrial,Irvine,98565,1977,0.967,1.0857,1.435,1.388,0.05,0.325,3.5,0.457,0.25,0.588,,Market / Lease-up Risk,1393.94,0.053,0.055,Cypress Industrial Yard 2,21.714,0.064,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-65,Industrial,Newport Beach,191189,1979,0.942,1.9062,1.295,1.254,0.0518,0.305,3.5,0.049,0.5872,0.51,,Market / Lease-up Risk,5400.0,0.053,0.055,Orange Industrial Park 2,36.7992,0.0599,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-69,Industrial,Orange,68742,1977,0.994,0.4953,1.05,1.037,0.0498,0.413,5.8,0.784,0.3337,0.578,,Market / Lease-up Risk,1148.15,0.053,0.055,Santa Ana Logistics Hub 2,9.9458,0.0641,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-73,Industrial,Santa Ana,147903,1955,0.982,1.1426,1.113,1.125,0.0563,0.38,5.7,0.18,0.253,0.144,,Market / Lease-up Risk,2296.3,0.053,0.055,Fountain Valley Warehouse 2,20.2948,0.0646,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-77,Industrial,Costa Mesa,65655,1978,0.982,0.8904,1.722,1.76,0.0506,0.318,7.3,0.561,0.552,0.513,,Market / Lease-up Risk,3250.0,0.053,0.055,Laguna Beach Industrial Lofts (hybrid) 2,17.5968,0.0608,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-81,Industrial,Fullerton,101912,1977,0.946,1.1586,1.896,1.831,0.0523,0.444,4.1,0.008,0.6162,0.473,,Market / Lease-up Risk,1500.0,0.053,0.055,Anaheim Commerce Center 3,22.153,0.0636,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-85,Industrial,Anaheim,139013,1964,0.943,1.3462,1.532,1.5,0.0496,0.412,6.2,0.357,0.4131,0.425,,Market / Lease-up Risk,950.98,0.053,0.055,Irvine Spectrum Logistics 3,27.1411,0.063,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-89,Industrial,Irvine,208326,1955,0.948,2.3178,1.492,1.447,0.059,0.31,4.2,0.168,0.3075,0.157,,Market / Lease-up Risk,1393.94,0.053,0.055,Fullerton Distribution Park 3,39.2847,0.0642,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-93,Industrial,Newport Beach,203112,1973,0.943,2.2572,1.673,1.662,0.0575,0.401,2.4,0.261,0.5299,0.562,,Market / Lease-up Risk,5400.0,0.053,0.055,Garden Grove Logistics Center 3,39.2557,0.0626,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-INDU-97,Industrial,Orange,129610,1955,0.972,1.4075,1.769,1.773,0.0565,0.446,4.7,0.637,0.6619,0.085,,Market / Lease-up Risk,1148.15,0.053,0.055,Tustin Business Park 3,24.9115,0.0624,0.7,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-03,Multifamily,Anaheim,43440,1979,0.958,1.3015,3518.59,3566.645,0.0485,0.316,1.1,0.106,0.6572,0.625,48.0,Market / Lease-up Risk,950.98,0.053,0.036,Orange Grove Apartments,26.8351,0.0627,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-07,Multifamily,Irvine,26825,1965,0.928,0.5403,2990.79,2993.097,0.0484,0.317,1.3,0.086,0.2582,0.467,25.0,Market / Lease-up Risk,1393.94,0.053,0.036,Santa Ana Urban Flats,11.1632,0.0607,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-103,Multifamily,Santa Ana,35724,1974,0.927,1.0831,4252.44,4233.403,0.0544,0.382,0.9,0.179,0.6145,0.497,39.0,Market / Lease-up Risk,2296.3,0.053,0.036,Santa Ana Urban Flats 4,19.9099,0.06,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-107,Multifamily,Costa Mesa,39870,1959,0.957,0.4812,2289.86,2222.635,0.0544,0.358,1.3,0.301,0.2008,0.368,30.0,Market / Lease-up Risk,3250.0,0.053,0.036,Anaheim Garden Apartments 4,8.8456,0.0634,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-11,Multifamily,Newport Beach,28896,1961,0.976,0.5201,2560.65,2499.222,0.0515,0.348,1.3,0.123,0.2779,0.362,28.0,Market / Lease-up Risk,5400.0,0.053,0.036,Anaheim Garden Apartments,10.099,0.059,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-111,Multifamily,Fullerton,46760,1976,0.933,1.0128,3721.99,3749.345,0.0553,0.38,1.2,0.078,0.1392,0.586,40.0,Market / Lease-up Risk,1500.0,0.053,0.036,Irvine Park Courts 4,18.3146,0.0595,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-115,Multifamily,Anaheim,57362,1973,0.959,1.0468,3043.45,3141.4,0.0496,0.337,1.0,0.018,0.4994,0.527,46.0,Market / Lease-up Risk,950.98,0.053,0.036,Fullerton Square Apartments 4,21.1048,0.0595,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-119,Multifamily,Irvine,38268,1981,0.945,0.7323,3298.07,3200.386,0.0485,0.445,1.5,0.156,0.5014,0.586,36.0,Market / Lease-up Risk,1393.94,0.053,0.036,Costa Mesa Midtown Flats 4,15.099,0.0617,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-15,Multifamily,Orange,47386,1986,0.95,0.741,2779.1,2802.766,0.0493,0.445,0.8,0.721,0.1638,0.734,43.0,Market / Lease-up Risk,1148.15,0.053,0.036,Irvine Park Courts,15.0304,0.061,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-19,Multifamily,Santa Ana,27024,1986,0.954,0.4527,2834.94,2734.059,0.0562,0.407,1.1,0.41,0.0645,0.698,24.0,Market / Lease-up Risk,2296.3,0.053,0.036,Fullerton Square Apartments,8.0552,0.0586,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-23,Multifamily,Costa Mesa,58050,1980,0.949,1.0541,3230.31,3239.814,0.0521,0.32,1.1,0.534,0.5336,0.614,43.0,Market / Lease-up Risk,3250.0,0.053,0.036,Costa Mesa Midtown Flats,20.2322,0.0597,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-27,Multifamily,Fullerton,60451,1980,0.939,0.7889,1864.95,1883.518,0.0484,0.372,1.2,0.042,0.2363,0.592,61.0,Market / Lease-up Risk,1500.0,0.053,0.036,Tustin Station Apartments,16.2996,0.06,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-31,Multifamily,Anaheim,45962,1955,0.931,1.1101,3111.73,3087.421,0.0519,0.314,1.1,0.064,0.6083,0.061,49.0,Market / Lease-up Risk,950.98,0.053,0.036,Newport Shores Apartments,21.3892,0.0605,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-35,Multifamily,Irvine,23092,1978,0.958,0.4499,2893.95,2817.473,0.0503,0.4,0.9,0.425,0.2913,0.688,23.0,Market / Lease-up Risk,1393.94,0.053,0.036,Orange Grove Apartments 2,8.9443,0.0619,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-39,Multifamily,Newport Beach,39824,1979,0.96,0.7795,2625.73,2582.727,0.0473,0.308,0.9,0.319,0.4048,0.668,38.0,Market / Lease-up Risk,5400.0,0.053,0.036,Santa Ana Urban Flats 2,16.4799,0.0619,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-43,Multifamily,Orange,62348,1982,0.963,1.1452,3411.73,3427.735,0.0533,0.43,1.5,0.617,0.3764,0.686,52.0,Market / Lease-up Risk,1148.15,0.053,0.036,Anaheim Garden Apartments 2,21.4859,0.0586,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-47,Multifamily,Santa Ana,50568,1972,0.941,0.9451,3198.4,3216.223,0.0561,0.379,1.4,0.261,0.286,0.585,43.0,Market / Lease-up Risk,2296.3,0.053,0.036,Irvine Park Courts 2,16.8467,0.0608,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-51,Multifamily,Costa Mesa,60960,1971,0.971,0.9739,3075.49,3169.341,0.0487,0.404,1.3,0.032,0.6502,0.469,48.0,Market / Lease-up Risk,3250.0,0.053,0.036,Fullerton Square Apartments 2,19.9979,0.0591,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-55,Multifamily,Fullerton,25893,2000,0.95,0.3036,2352.46,2392.081,0.0501,0.45,1.3,0.046,0.0373,0.876,21.0,Market / Lease-up Risk,1500.0,0.053,0.036,Costa Mesa Midtown Flats 2,6.0599,0.0604,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-59,Multifamily,Anaheim,17205,1970,0.94,0.2263,2015.78,2027.296,0.0495,0.323,1.3,0.623,0.045,0.503,15.0,Market / Lease-up Risk,950.98,0.053,0.036,Tustin Station Apartments 2,4.5717,0.062,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-63,Multifamily,Irvine,21672,1977,0.934,0.3569,2763.23,2691.561,0.0517,0.44,1.4,0.271,0.1537,0.654,21.0,Market / Lease-up Risk,1393.94,0.053,0.036,Newport Shores Apartments 2,6.9033,0.0608,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-67,Multifamily,Newport Beach,60966,1995,0.961,0.8694,2503.65,2588.061,0.0509,0.431,1.3,0.143,0.3768,0.834,54.0,Market / Lease-up Risk,5400.0,0.053,0.036,Orange Grove Apartments 3,17.0806,0.0583,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-71,Multifamily,Orange,44112,1966,0.948,0.8125,2563.51,2520.553,0.0555,0.389,0.9,0.006,0.2081,0.499,48.0,Market / Lease-up Risk,1148.15,0.053,0.036,Santa Ana Urban Flats 3,14.6396,0.0628,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-75,Multifamily,Santa Ana,24244,1966,0.965,0.5064,3763.06,3872.564,0.0484,0.444,1.4,0.209,0.1509,0.363,22.0,Market / Lease-up Risk,2296.3,0.053,0.036,Anaheim Garden Apartments 3,10.4628,0.0595,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-79,Multifamily,Costa Mesa,25574,1965,0.945,0.5117,3622.86,3705.204,0.0518,0.31,0.8,0.324,0.3152,0.438,19.0,Market / Lease-up Risk,3250.0,0.053,0.036,Irvine Park Courts 3,9.8784,0.0619,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-83,Multifamily,Fullerton,68376,1972,0.947,1.0057,2442.7,2419.479,0.0521,0.319,1.1,0.079,0.1485,0.451,56.0,Market / Lease-up Risk,1500.0,0.053,0.036,Fullerton Square Apartments 3,19.3033,0.0624,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-87,Multifamily,Anaheim,63488,1962,0.965,0.9041,2120.91,2078.773,0.0493,0.375,1.4,0.055,0.3362,0.167,62.0,Market / Lease-up Risk,950.98,0.053,0.036,Costa Mesa Midtown Flats 3,18.3387,0.0629,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-91,Multifamily,Irvine,74250,1968,0.928,0.977,2544.07,2473.543,0.05,0.34,1.0,0.219,0.1462,0.322,55.0,Market / Lease-up Risk,1393.94,0.053,0.036,Tustin Station Apartments 3,19.54,0.0608,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-95,Multifamily,Newport Beach,33959,1981,0.946,0.518,2421.6,2412.287,0.0534,0.337,1.4,0.342,0.1131,0.634,29.0,Market / Lease-up Risk,5400.0,0.053,0.036,Newport Shores Apartments 3,9.7004,0.0611,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-MULT-99,Multifamily,Orange,72936,1963,0.925,0.9506,1819.77,1780.463,0.055,0.312,1.0,0.162,0.4597,0.438,72.0,Market / Lease-up Risk,1148.15,0.053,0.036,Orange Grove Apartments 4,17.2836,0.0621,0.7,30,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-02,Office,Anaheim,216310,1976,0.802,3.647,2.7,2.624,0.0682,0.317,4.0,0.329,1.3741,0.492,,Market / Lease-up Risk,950.98,0.053,0.133,Jamboree Office Plaza,53.4751,0.0654,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-06,Office,Irvine,158882,1960,0.849,1.7982,1.871,1.837,0.071,0.375,3.4,0.246,0.546,0.272,,Market / Lease-up Risk,1393.94,0.053,0.133,Newport Gateway Offices,25.3268,0.0707,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-10,Office,Newport Beach,105678,1977,0.832,1.6392,2.71,2.635,0.0718,0.415,5.3,0.006,0.6329,0.67,,Market / Lease-up Risk,5400.0,0.053,0.133,Irvine Corporate Center,22.8301,0.0676,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-102,Office,Santa Ana,100254,1968,0.949,1.9618,2.656,2.725,0.0685,0.319,2.7,0.143,0.7682,0.499,,Market / Lease-up Risk,2296.3,0.053,0.133,Newport Gateway Offices 4,28.6394,0.0629,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-106,Office,Costa Mesa,167587,1978,0.862,3.3508,2.871,2.775,0.0674,0.313,5.6,0.407,0.876,0.688,,Market / Lease-up Risk,3250.0,0.053,0.133,Irvine Corporate Center 4,49.7151,0.064,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-110,Office,Fullerton,215857,1962,0.778,3.1096,2.566,2.605,0.0641,0.367,4.8,0.444,0.5863,0.291,,Market / Lease-up Risk,1500.0,0.053,0.133,Anaheim Office Park 4,48.5117,0.0666,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-114,Office,Anaheim,231663,1971,0.945,3.0848,1.962,1.977,0.0702,0.37,5.8,0.184,1.5235,0.472,,Market / Lease-up Risk,950.98,0.053,0.133,Costa Mesa Professional Tower 4,43.943,0.0665,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-118,Office,Irvine,113597,1990,0.853,2.2177,3.06,3.161,0.0629,0.364,4.2,0.545,1.034,0.935,,Market / Lease-up Risk,1393.94,0.053,0.133,Huntington Beach Executive Suites 4,35.2576,0.0684,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-14,Office,Orange,186200,1980,0.845,2.9793,2.815,2.871,0.0643,0.428,4.1,0.19,0.2682,0.537,,Market / Lease-up Risk,1148.15,0.053,0.133,Anaheim Office Park,46.3344,0.0691,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-18,Office,Santa Ana,238166,1978,0.801,3.8091,3.062,3.028,0.0769,0.428,3.3,0.056,0.4612,0.491,,Market / Lease-up Risk,2296.3,0.053,0.133,Costa Mesa Professional Tower,49.5332,0.0654,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-22,Office,Costa Mesa,170542,1974,0.889,2.0895,2.063,1.99,0.0677,0.414,5.0,0.354,0.1614,0.457,,Market / Lease-up Risk,3250.0,0.053,0.133,Huntington Beach Executive Suites,30.8641,0.0712,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-26,Office,Fullerton,228573,1955,0.874,3.0223,2.374,2.331,0.0648,0.441,6.7,0.073,0.9057,0.248,,Market / Lease-up Risk,1500.0,0.053,0.133,Tustin Office Village,46.6404,0.0713,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-30,Office,Anaheim,96194,1955,0.751,1.5834,2.958,3.019,0.076,0.35,4.9,0.132,0.3135,0.145,,Market / Lease-up Risk,950.98,0.053,0.133,Fullerton Business Center,20.8342,0.0682,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-34,Office,Irvine,138427,1955,0.81,2.5043,2.856,2.85,0.0624,0.314,2.5,0.238,0.6208,0.145,,Market / Lease-up Risk,1393.94,0.053,0.133,Jamboree Office Plaza 2,40.133,0.0675,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-38,Office,Newport Beach,215770,1985,0.864,4.5152,3.198,3.315,0.064,0.356,5.1,0.681,1.8614,0.612,,Market / Lease-up Risk,5400.0,0.053,0.133,Newport Gateway Offices 2,70.55,0.0689,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-42,Office,Orange,205937,1982,0.919,3.2832,2.387,2.301,0.0741,0.382,2.2,0.115,0.6524,0.539,,Market / Lease-up Risk,1148.15,0.053,0.133,Irvine Corporate Center 2,44.3077,0.0689,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-46,Office,Santa Ana,256791,1959,0.775,3.286,2.31,2.254,0.0747,0.373,4.9,0.323,1.1967,0.177,,Market / Lease-up Risk,2296.3,0.053,0.133,Anaheim Office Park 2,43.9893,0.0657,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-50,Office,Costa Mesa,155661,1976,0.785,3.1253,3.152,3.239,0.0647,0.31,3.8,0.109,0.8499,0.647,,Market / Lease-up Risk,3250.0,0.053,0.133,Costa Mesa Professional Tower 2,48.3045,0.0677,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-54,Office,Fullerton,127939,1981,0.805,1.8058,2.593,2.527,0.0631,0.425,2.1,0.173,0.17,0.73,,Market / Lease-up Risk,1500.0,0.053,0.133,Huntington Beach Executive Suites 2,28.6181,0.0658,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-58,Office,Anaheim,207723,1960,0.871,4.0217,3.445,3.338,0.0721,0.434,3.2,0.096,0.5089,0.353,,Market / Lease-up Risk,950.98,0.053,0.133,Tustin Office Village 2,55.7795,0.0647,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-62,Office,Irvine,176651,1963,0.79,3.2682,3.021,2.979,0.0744,0.32,2.5,0.171,1.4905,0.2,,Market / Lease-up Risk,1393.94,0.053,0.133,Fullerton Business Center 2,43.9274,0.07,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-66,Office,Newport Beach,161676,1975,0.763,2.1498,2.516,2.533,0.0696,0.411,5.2,0.05,0.9158,0.549,,Market / Lease-up Risk,5400.0,0.053,0.133,Jamboree Office Plaza 3,30.8879,0.0649,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-70,Office,Orange,197841,1978,0.809,3.0227,2.533,2.471,0.0714,0.366,4.3,0.139,0.3978,0.656,,Market / Lease-up Risk,1148.15,0.053,0.133,Newport Gateway Offices 3,42.3347,0.0663,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-74,Office,Santa Ana,97577,1977,0.861,1.3451,2.477,2.51,0.071,0.433,3.1,0.645,0.1324,0.484,,Market / Lease-up Risk,2296.3,0.053,0.133,Irvine Corporate Center 3,18.9451,0.0693,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-78,Office,Costa Mesa,151635,1967,0.751,2.7797,3.075,3.09,0.0622,0.325,2.7,0.189,0.7243,0.507,,Market / Lease-up Risk,3250.0,0.053,0.133,Anaheim Office Park 3,44.6897,0.0638,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-82,Office,Fullerton,168183,1986,0.776,3.3217,3.419,3.336,0.0704,0.367,5.1,0.005,1.547,0.747,,Market / Lease-up Risk,1500.0,0.053,0.133,Costa Mesa Professional Tower 3,47.1832,0.066,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
